index,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
164,SS2606,20260601,14725,14810,14630,14740.0,648,3960,4773.33,14730,14830,SS
165,SS2607,20260601,14870,14880,14710,14850.0,183989,108359,1361132.1975,14795,14905,SS
166,SS2608,20260601,15020,15020,14845,14965.0,61005,64427,454878.925,14910,15015,SS
167,SS2609,20260601,15025,15045,14900,15005.0,13925,11951,104131.8575,14955,15035,SS
168,SS2610,20260601,15070,15080,14930,15040.0,6554,8071,49083.27,14975,15065,SS
169,SS2611,20260601,15010,15100,14980,15080.0,74,477,556.32,15035,15110,SS
170,SS2612,20260601,15120,15170,15015,15170.0,21,188,158.5525,15100,15160,SS
171,SS2701,20260601,15090,15160,15045,15160.0,30,341,226.29,15085,15180,SS
172,SS2702,20260601,15100,15205,15100,15205.0,17,34,128.6675,15135,15180,SS
173,SS2703,20260601,15135,15290,15130,15260.0,10,122,76.0325,15205,15260,SS
174,SS2704,20260601,15105,15330,15105,15280.0,23,34,175.16,15230,15230,SS
175,SS2705,20260601,15155,15340,15150,15340.0,17,53,129.68,15255,15290,SS
164,SS2606,20260602,14740,15000,14740,15000,492,3768,3663.09,14890,14730,SS
165,SS2607,20260602,14885,15095,14885,15065,219272,105001,1644886.7625,15000,14795,SS
166,SS2608,20260602,15000,15205,14995,15180,70622,70532,533882.475,15115,14910,SS
167,SS2609,20260602,15070,15240,15060,15210,9452,11682,71585.9025,15145,14955,SS
168,SS2610,20260602,15090,15270,15090,15240,3602,8335,27331.2925,15175,14975,SS
169,SS2611,20260602,15110,15285,15110,15260,83,475,632.2275,15230,15035,SS
170,SS2612,20260602,15230,15310,15175,15310,52,186,396.2175,15235,15100,SS
171,SS2701,20260602,15230,15310,15230,15280,31,337,236.56,15260,15085,SS
172,SS2702,20260602,15275,15350,15270,15275,16,30,122.3975,15295,15135,SS
173,SS2703,20260602,15315,15390,15315,15390,8,119,61.385,15345,15205,SS
174,SS2704,20260602,15335,15425,15330,15375,10,35,76.82,15360,15230,SS
175,SS2705,20260602,15400,15420,15365,15420,17,53,130.855,15390,15255,SS
164,SS2606,20260603,15050,15070,14930,14930.0,84,3756,629.46,14985,14890,SS
165,SS2607,20260603,15100,15175,14965,15025.0,158651,106902,1196024.1875,15075,15000,SS
166,SS2608,20260603,15180,15275,15070,15125.0,47093,75838,357384.135,15175,15115,SS
167,SS2609,20260603,15190,15305,15110,15165.0,4353,12099,33111.9075,15210,15145,SS
168,SS2610,20260603,15260,15330,15155,15185.0,1410,8335,10737.0875,15225,15175,SS
169,SS2611,20260603,15310,15345,15180,15225.0,358,517,2734.92,15275,15230,SS
170,SS2612,20260603,15320,15370,15200,15255.0,34,185,259.4375,15260,15235,SS
171,SS2701,20260603,15345,15385,15205,15210.0,60,311,459.325,15310,15260,SS
172,SS2702,20260603,15395,15430,15325,15325.0,11,32,84.6525,15390,15295,SS
173,SS2703,20260603,15400,15400,15290,15290.0,2,120,15.345,15345,15345,SS
174,SS2704,20260603,15445,15445,15280,15315.0,7,32,53.745,15355,15360,SS
175,SS2705,20260603,15495,15495,15285,15385.0,34,44,261.8675,15400,15390,SS
164,SS2606,20260604,14695,14715,14630,14635,216,3720,1582.89,14655,14985,SS
165,SS2607,20260604,15000,15000,14670,14710,207852,109811,1537504.485,14790,15075,SS
166,SS2608,20260604,15075,15095,14780,14815,94723,82045,705701.4975,14900,15175,SS
167,SS2609,20260604,15130,15130,14820,14855,7875,12448,58843.59,14940,15210,SS
168,SS2610,20260604,15155,15155,14865,14890,10422,8532,77973.9275,14960,15225,SS
169,SS2611,20260604,15145,15160,14915,14935,233,496,1748.1575,15005,15275,SS
170,SS2612,20260604,15200,15200,14965,14965,160,169,1202.55,15030,15260,SS
171,SS2701,20260604,15200,15200,14990,14995,79,318,594.52,15050,15310,SS
172,SS2702,20260604,15275,15275,15075,15080,41,46,310.1125,15125,15390,SS
173,SS2703,20260604,15210,15210,15025,15070,12,124,90.695,15115,15345,SS
174,SS2704,20260604,15200,15220,15135,15135,16,35,121.4725,15180,15355,SS
175,SS2705,20260604,15250,15250,15180,15180,12,48,91.315,15215,15400,SS
164,SS2606,20260605,14635,14645,14490,14530,348,3720,2543.58,14615,14655,SS
165,SS2607,20260605,14700,14725,14555,14610,137068,110080,1003798.0425,14645,14790,SS
166,SS2608,20260605,14790,14840,14685,14730,62111,83520,458335.7325,14755,14900,SS
167,SS2609,20260605,14830,14870,14720,14750,6172,13170,45666.8575,14795,14940,SS
168,SS2610,20260605,14890,14910,14760,14790,2105,8898,15609.795,14830,14960,SS
169,SS2611,20260605,14910,14955,14800,14830,274,447,2036.455,14860,15005,SS
170,SS2612,20260605,15010,15010,14845,14870,39,166,290.72,14905,15030,SS
171,SS2701,20260605,15000,15010,14880,14885,91,309,679.94,14940,15050,SS
172,SS2702,20260605,15045,15075,14970,14995,18,55,135.1975,15020,15125,SS
173,SS2703,20260605,15035,15045,14970,15010,10,120,75.0775,15015,15115,SS
174,SS2704,20260605,15120,15120,14970,15035,12,33,90.26,15040,15180,SS
175,SS2705,20260605,15185,15185,15015,15060,30,48,226.4825,15095,15215,SS
164,SS2606,20260608,14530,14675,14500,14610,1296,2964,9447.33,14575,14615,SS
165,SS2607,20260608,14645,14750,14575,14665,158732,106103,1164260.055,14665,14645,SS
166,SS2608,20260608,14765,14860,14690,14780,68931,83928,509473.44,14780,14755,SS
167,SS2609,20260608,14820,14895,14730,14825,8647,15027,64089.335,14820,14795,SS
168,SS2610,20260608,14830,14930,14765,14845,3232,9136,24007.3225,14855,14830,SS
169,SS2611,20260608,14880,14945,14830,14870,106,443,789.195,14890,14860,SS
170,SS2612,20260608,14915,15000,14900,14915,18,169,134.625,14955,14905,SS
171,SS2701,20260608,14995,15050,14870,14950,36,318,269.8775,14990,14940,SS
172,SS2702,20260608,15025,15025,14955,14955,3,57,22.4725,14980,15020,SS
173,SS2703,20260608,15020,15105,15020,15105,3,121,22.595,15060,15015,SS
174,SS2704,20260608,15110,15130,15110,15110,3,33,22.675,15115,15040,SS
175,SS2705,20260608,15225,15235,15155,15160,13,47,98.79,15195,15095,SS
164,SS2606,20260609,14450,14450,14350,14420.0,360,2976,2599.44,14440,14575,SS
165,SS2607,20260609,14640,14645,14385,14505.0,156104,102112,1131648.32,14495,14665,SS
166,SS2608,20260609,14730,14755,14510,14620.0,83430,86793,609746.6725,14615,14780,SS
167,SS2609,20260609,14765,14795,14550,14650.0,8154,15600,59699.095,14640,14820,SS
168,SS2610,20260609,14820,14825,14580,14680.0,2566,9505,18841.435,14685,14855,SS
169,SS2611,20260609,14870,14870,14650,14745.0,161,451,1184.92,14715,14890,SS
170,SS2612,20260609,14725,14790,14675,14790.0,5,167,36.8175,14725,14955,SS
171,SS2701,20260609,14875,14895,14745,14805.0,53,326,392.3925,14805,14990,SS
172,SS2702,20260609,14865,14865,14780,14780.0,5,56,37.1175,14845,14980,SS
173,SS2703,20260609,14800,14800,14800,14800.0,1,122,7.4,14800,15060,SS
174,SS2704,20260609,14945,14970,14885,14910.0,7,36,52.2275,14920,15115,SS
175,SS2705,20260609,14970,14970,14925,14925.0,3,47,22.41,14940,15195,SS
164,SS2606,20260610,14280,14280,14280,14280,60,2976,428.4,14280,14440,SS
165,SS2607,20260610,14455,14490,14340,14385,133568,96380,962018.555,14400,14495,SS
166,SS2608,20260610,14570,14605,14460,14495,77028,92530,559147.49,14515,14615,SS
167,SS2609,20260610,14630,14640,14490,14540,6554,16525,47677.5075,14545,14640,SS
168,SS2610,20260610,14645,14675,14515,14555,2952,10034,21516.245,14575,14685,SS
169,SS2611,20260610,14730,14730,14560,14590,155,485,1134.075,14630,14715,SS
170,SS2612,20260610,14705,14705,14600,14660,20,174,146.5,14650,14725,SS
171,SS2701,20260610,14740,14740,14605,14630,233,303,1707.6025,14655,14805,SS
172,SS2702,20260610,14740,14740,14650,14690,12,65,88.1525,14690,14845,SS
173,SS2703,20260610,14760,14775,14680,14710,10,118,73.65,14730,14800,SS
174,SS2704,20260610,14880,14880,14715,14715,14,43,103.625,14800,14920,SS
175,SS2705,20260610,14885,14945,14760,14815,16,45,118.6925,14835,14940,SS
